package,title,topic,maintainer,url,readme,source,mark
ocgtools,ocgtools – Manipulate OCG layers in PDF presentations,pdf features,Robert Mařík,https://www.ctan.org/pkg/ocgtools,https://mirrors.ctan.org/macros/latex/contrib/ocgtools/README,https://www.ctan.org/tex-archive/macros/latex/contrib/ocgtools,""
ocgx,ocgx – Use OCGs within a PDF document without JavaScript,pdf features,Paul Gaborit,https://www.ctan.org/pkg/ocgx,https://mirrors.ctan.org/macros/latex/contrib/ocgx/README,https://www.ctan.org/tex-archive/macros/latex/contrib/ocgx,""
octavo,octavo – Typeset books following classical design and layout,"class,book publication",Stefan A Revets,https://www.ctan.org/pkg/octavo,https://mirrors.ctan.org/macros/latex/contrib/octavo/README,https://www.ctan.org/tex-archive/macros/latex/contrib/octavo,""
old-arrows,old-arrows – Computer Modern old-style arrows with smaller arrowheads,"font symbol maths,font type1",Riccardo Dossena,https://www.ctan.org/pkg/old-arrows,https://mirrors.ctan.org/fonts/old-arrows/README,https://www.ctan.org/tex-archive/fonts/old-arrows,""
oldprsn,oldprsn – Fonts old Persian cuneiform script,"mf font,archaic font,font,font type1",Peter R. Wilson,https://www.ctan.org/pkg/oldprsn,https://mirrors.ctan.org/fonts/archaic/oldprsn/README,https://www.ctan.org/tex-archive/fonts/archaic/oldprsn,""
opacity-pro,opacity-pro – Set transparency and blend mode,"pdf features,adobe distiller",Donald P. Story (deceased),https://www.ctan.org/pkg/opacity-pro,https://mirrors.ctan.org/macros/latex/contrib/opacity-pro/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/opacity-pro,""
opcit,opcit – Footnote-style bibliographical references,"footnote,bibtex support",Federico Garcia-De Castro,https://www.ctan.org/pkg/opcit,https://mirrors.ctan.org/macros/latex/contrib/opcit/README,https://www.ctan.org/tex-archive/macros/latex/contrib/opcit,""
opencolor,opencolor – Definitions from the Open Color library,colour,Michele Piazzai,https://www.ctan.org/pkg/opencolor,https://mirrors.ctan.org/macros/latex/contrib/opencolor/README.md,https://github.com/piazzai/opencolor,""
optional,optional – Facilitate optional printing of parts of a document,"conditional compilation,editorial",Donald Arseneau,https://www.ctan.org/pkg/optional,\,https://www.ctan.org/tex-archive/macros/latex/contrib/optional,""
options,options – Provides convenient key-value options for LaTeX package writers,key-val,Daan Leijen,https://www.ctan.org/pkg/options,https://mirrors.ctan.org/macros/latex/contrib/options/README,https://www.ctan.org/tex-archive/macros/latex/contrib/options,later
orderrefs,orderrefs – Sort bibliography in LaTeX document by order of citation,biblio support,John Collins,https://www.ctan.org/pkg/orderrefs,https://mirrors.ctan.org/support/orderrefs/README,https://www.ctan.org/tex-archive/support/orderrefs,""
orkhun,orkhun – A font for orkhun script,turkish,Abdugafur Rakhimov,https://www.ctan.org/pkg/orkhun,https://mirrors.ctan.org/fonts/orkhun/README,https://www.ctan.org/tex-archive/fonts/orkhun,""
othelloboard,"othelloboard – Typeset Othello (Reversi) diagrams of any size, with annotations",games,Steven Hall,https://www.ctan.org/pkg/othelloboard,https://mirrors.ctan.org/macros/latex/contrib/othelloboard/README,https://www.ctan.org/tex-archive/macros/latex/contrib/othelloboard,""
